VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,trip_duration,trip_duration_minutes,time_category,Shape_Leng,Shape_Area,zone,LocationID,borough,lat,lng
2,2022-02-01 14:19:27,2022-02-01 14:24:02,N,1.0,116,152,1.0,0.67,5.0,0.0,0.5,0.0,0.0,,0.3,5.8,2.0,1.0,0.0,0 days 00:04:35,4.583333333333333,afternoon,0.0681164844265,0.000260415337217,Hamilton Heights,116,Manhattan,40.827535259806176,-73.94736754322265
2,2022-02-22 11:10:20,2022-02-22 11:25:35,N,1.0,166,239,1.0,1.99,11.5,0.0,0.5,0.0,0.0,,0.3,15.05,2.0,1.0,2.75,0 days 00:15:15,15.25,morning,0.0688237542871,0.000255276270405,Morningside Heights,166,Manhattan,40.80957022827245,-73.96181526438258
1,2022-02-12 11:16:44,2022-02-12 11:21:57,N,1.0,41,41,1.0,0.7,5.0,0.0,0.5,0.0,0.0,,0.3,5.8,3.0,1.0,0.0,0 days 00:05:13,5.216666666666667,morning,0.052793109453,0.000143093037737,Central Harlem,41,Manhattan,40.80420482862898,-73.95206533089232
2,2022-02-18 16:19:42,2022-02-18 16:59:46,N,1.0,244,229,1.0,8.6,31.0,1.0,0.5,7.11,0.0,,0.3,42.66,1.0,1.0,2.75,0 days 00:40:04,40.06666666666667,afternoon,0.0805686044599,0.000359702747951,Washington Heights South,244,Manhattan,40.84121866986656,-73.94166681405747
2,2022-02-16 08:21:31,2022-02-16 08:38:07,N,1.0,166,239,1.0,2.08,12.0,0.0,0.5,0.0,0.0,,0.3,15.55,2.0,1.0,2.75,0 days 00:16:36,16.6,morning,0.0688237542871,0.000255276270405,Morningside Heights,166,Manhattan,40.80957022827245,-73.96181526438258
2,2022-02-14 13:42:47,2022-02-14 14:10:42,N,1.0,33,177,1.0,4.28,19.5,0.0,0.5,0.0,0.0,,0.3,20.3,2.0,1.0,0.0,0 days 00:27:55,27.916666666666668,afternoon,0.0532702931967,0.000147416802448,Brooklyn Heights,33,Brooklyn,40.69623832706301,-73.99532879720404
1,2022-02-22 06:57:49,2022-02-22 07:04:35,N,1.0,74,43,1.0,1.3,7.0,0.0,0.5,2.3,0.0,,0.3,10.1,1.0,1.0,0.0,0 days 00:06:46,6.766666666666667,morning,0.11029093625,0.000295038418204,East Harlem North,74,Manhattan,40.80556556547766,-73.9383104968462
2,2022-02-05 16:52:47,2022-02-05 17:02:22,N,1.0,65,97,1.0,1.21,8.0,0.0,0.5,0.0,0.0,,0.3,8.8,2.0,1.0,0.0,0 days 00:09:35,9.583333333333334,afternoon,0.0446070683658,8.1803882541e-05,Downtown Brooklyn/MetroTech,65,Brooklyn,40.69537260932962,-73.9855710635353
2,2022-02-03 13:51:17,2022-02-03 14:17:53,N,1.0,65,225,1.0,2.83,17.0,0.0,0.5,0.0,0.0,,0.3,17.8,2.0,1.0,0.0,0 days 00:26:36,26.6,afternoon,0.0446070683658,8.1803882541e-05,Downtown Brooklyn/MetroTech,65,Brooklyn,40.69537260932962,-73.9855710635353
2,2022-02-06 15:17:37,2022-02-06 15:34:56,N,1.0,152,239,1.0,2.7,13.5,0.0,0.5,4.26,0.0,,0.3,21.31,1.0,1.0,2.75,0 days 00:17:19,17.316666666666666,afternoon,0.0579094768782,0.000146637644064,Manhattanville,152,Manhattan,40.81757720019101,-73.95432487462715
2,2022-02-17 10:33:59,2022-02-17 10:44:03,N,1.0,74,43,1.0,0.01,7.0,0.0,0.5,1.56,0.0,,0.3,9.36,1.0,1.0,0.0,0 days 00:10:04,10.066666666666666,morning,0.11029093625,0.000295038418204,East Harlem North,74,Manhattan,40.80556556547766,-73.9383104968462
2,2022-02-27 20:45:06,2022-02-27 21:03:26,N,1.0,37,112,1.0,2.98,13.5,0.5,0.5,1.0,0.0,,0.3,15.8,1.0,1.0,0.0,0 days 00:18:20,18.333333333333332,evening,0.142810040466,0.000452062644782,Bushwick South,37,Brooklyn,40.69626745249855,-73.9259483634522
2,2022-02-22 17:20:40,2022-02-22 17:26:07,N,1.0,263,75,2.0,0.37,5.0,1.0,0.5,3.0,0.0,,0.3,9.8,1.0,1.0,0.0,0 days 00:05:27,5.45,afternoon,0.0370166252994,6.57697664169e-05,Yorkville West,263,Manhattan,40.77849586877702,-73.95120799165441
